310,8.417
320,11.412
330,14.265
340,18.545
350,23.871
360,29.957
370,39.777
380,50.839
390,60.288
400,69.126
410,76.788
420,80.171
430,82.168
440,83.167
450,84.165
460,84.879
470,85.877
480,86.733
490,87.732
500,88.231
510,88.445
520,88.745
530,88.845
540,89.158
550,89.158
560,89.444
570,89.539
580,89.872
590,90.062
600,90.442
610,90.68
620,91.013
630,91.298
640,91.441
650,91.441
660,91.441
670,91.369
680,91.191
690,91.013
700,90.514
710,89.872
720,89.016
730,88.16
740,87.019
750,85.877
760,84.165
770,82.596
780,80.456
790,78.459
800,75.892
810,73.039
820,70.471
830,67.19
840,64.337
850,60.77
860,57.632
870,53.78
880,50.499
890,46.648
900,42.796
910,39.515
920,35.663
930,32.382
940,28.816
950,25.82
960,22.539
970,19.686
980,16.833
990,14.408
1000,11.84
1010,9.558
1020,7.846
1030,5.991
1040,4.565
1050,3.138
1060,2.14
1070,1.284
1080,0.713
1090,0.285
1100,0.143
