310,12.482
320,14.224
330,16.11
340,19.158
350,21.916
360,25.399
370,31.06
380,38.607
390,45.957
400,53.308
410,60.051
420,65.08
430,70.827
440,74.456
450,78.52
460,81.858
470,84.906
480,88.099
490,90.566
500,92.671
510,94.049
520,95.21
530,96.081
540,96.517
550,96.807
560,96.952
570,96.907
580,96.829
590,96.691
600,96.468
610,96.13
620,95.718
630,95.283
640,94.775
650,94.049
660,93.469
670,92.453
680,91.727
690,90.711
700,89.695
710,88.534
720,87.083
730,85.631
740,84.035
750,82.438
760,80.406
770,78.374
780,76.343
790,73.875
800,71.553
810,68.65
820,66.038
830,63.28
840,60.087
850,57.184
860,53.701
870,50.653
880,47.025
890,43.977
900,40.784
910,37.155
920,34.107
930,30.624
940,27.721
950,24.819
960,21.626
970,19.013
980,16.255
990,13.933
1000,11.466
1010,9.434
1020,7.692
1030,5.951
1040,4.499
1050,3.193
1060,2.177
1070,1.306
1080,0.653
1090,0.218
1100,0.145
